X,Y
1839, 62     
1841, 56     
1843, 62     
1845, 65     
1847, 65     
1849, 59     
1851, 62     
1853, 65     
1855, 65     
1857, 65     
1859, 65     
1861, 62     
1863, 62     
1865, 62     
1867, 59     
1869, 62     
1871, 62     
1873, 68     
1875, 65     
1877, 73     
1879, 76     
1881, 73     
1883, 76     
1885, 70     
1887, 70     
1889, 68     
1891, 65     
1893, 70     
1895, 68     
1897, 68     
1899, 65     
1901, 59     
1903, 56     
1905, 56     
1907, 56     
1909, 51     
1911, 53     
1913, 56     
1915, 53     
1917, 51     
1919, 56     
1921, 56     
1923, 59     
1925, 62     
1927, 62     
1929, 62     
1931, 65     
1933, 65     
1935, 65     
1937, 65     
1939, 76     
1941, 73     
1943, 70     
1945, 79     
1947, 90     
1949, 82     
1951, 82     
1953, 99     
1955, 99     
1957, 87     
1959, 96     
1961, 107    
1963, 96     
1965, 96     
1967, 104    
1969, 102    
1971, 96     
1973, 99     
1975, 99     
1977, 93     
1979, 90     
1981, 93     
1983, 90     
1985, 87     
1987, 93     
1989, 90     
1991, 82     
1993, 85     
1995, 87     
1997, 87     
1999, 87     
2001, 90     
2003, 85     
2005, 73     
2007, 65     
2009, 65     
2011, 70     
2013, 65     
2015, 65     
2017, 62     
2019, 59     
2021, 59     
2023, 59     
2025, 53     
2027, 56     
2029, 59     
2031, 56     
2033, 53     
2035, 56     
2037, 56     
2039, 62     
2041, 62     
2043, 62     
2045, 59     
2047, 59     
2049, 59     
2051, 59     
2053, 59     
2055, 59     
2057, 56     
2059, 56     
2061, 56     
2063, 56     
2065, 59     
2067, 56     
2069, 56     
2071, 56     
2073, 56     
2075, 56     
2077, 56     
2079, 56     
2081, 56     
2083, 56     
2085, 59     
2087, 56     
2089, 56     
2091, 56     
2093, 56     
2095, 56     
2097, 56     
2099, 56     
2101, 56     
2103, 56     
2105, 56     
2107, 56     
2109, 56     
2111, 56     
2113, 56     
2115, 56     
2117, 56     
2119, 56     
2121, 56     
2123, 56     
2125, 56     
2127, 56     
2129, 56     
2131, 56     
2133, 56     
2135, 56     
2137, 56     
2139, 56     
2141, 56     
2143, 56     
2145, 56     
2147, 56     
2149, 56     
2151, 56     
2153, 56     
2155, 56     
2157, 56     
2159, 56     
2161, 56     
2163, 56     
2165, 56     
2167, 56     
2169, 56     
2171, 56     
2173, 56     
2175, 56     
2177, 56     
2179, 56     
2181, 59     
2183, 59     
2185, 59     
2187, 59     
2189, 59     
2191, 59     
2193, 59     
2195, 59     
2197, 51     
2199, 48     
2201, 76     
2203, 87     
2205, 73     
2207, 53     
2209, 42     
2211, 34     
2213, 39     
2215, 76     
2217, 121    
2219, 116    
2221, 93     
2223, 68     
2225, 62     
2227, 70     
2229, 79     
2231, 79     
2233, 70     
2235, 65     
2237, 62     
2239, 59     
2241, 62     
2243, 65     
2245, 70     
2247, 85     
2249, 127    
2251, 147    
2253, 147    
2255, 147    
2257, 141    
2259, 141    
2261, 144    
2263, 147    
2265, 147    
2267, 144    
2269, 147    
2271, 150    
2273, 144    
2275, 144    
2277, 147    
2279, 150    
2281, 147    
2283, 150    
2285, 153    
2287, 150    
2289, 150    
2291, 150    
2293, 150    
2295, 150    
2297, 150    
2299, 150    
2301, 150    
2303, 150    
2305, 150    
2307, 150    
2309, 150    
2311, 150    
2313, 150    
2315, 153    
2317, 153    
2319, 153    
2321, 150    
2323, 153    
2325, 155    
2327, 153    
2329, 153    
2331, 153    
2333, 150    
2335, 150    
2337, 150    
2339, 147    
2341, 144    
2343, 150    
2345, 150    
2347, 150    
2349, 153    
2351, 153    
2353, 153    
2355, 153    
2357, 153    
2359, 153    
2361, 153    
2363, 153    
2365, 153    
2367, 155    
2369, 155    
2371, 153    
2373, 153    
2375, 153    
2377, 153    
2379, 155    
2381, 155    
2383, 155    
2385, 144    
2387, 133    
2389, 110    
2391, 79     
2393, 62     
2395, 36     
2397, 14     
2399, 5      
2401, 0      
2403, 0      
2405, 0      
2407, 0      
2409, 0      
2411, 0      
2413, 0      
2415, 0      
2417, 0      
2419, 0      
2421, 0      
2423, 0      
2425, 0      
2427, 0      
2429, 0      
2431, 0      
2433, 0      
2435, 0      
2437, 0      
2439, 0      
2441, 0      
2443, 0      
2445, 0      
2447, 0      
2449, 0      
2451, 0      
2453, 0      
2455, 0      
2457, 0      
2459, 0      
2461, 0      
